League;Country;Flag Filename;Division Filename;API competition id
Ligue 1;France;FR.svg;Ligue_1.svg;2015
Bundesliga;Germany;DE.svg;Bundesliga.svg;2002
Super Lig;Turkey;TR.svg;SuperLig.png;2070
Jupiler Pro League;Belgium;BE.svg;Jupiler_Pro_League.svg;2009
Premier League;UK;GB.svg;Premier_League.svg;2021
Eredivisie;Netherlands;NL.svg;Eredivisie.svg;2003
Liga Portugal;Portugal;PT.svg;Primeira_Liga.png;2098
Serie A;Italia;IT.svg;Serie_A.svg;2019
LaLiga;Spain;ES.svg;LaLiga.svg;2014
Premiership;Scotland;Scotland.svg;Scottish_Premiership.svg;2084
Super League;Greece;GR.svg;Super_League.svg;2132