Global team name,Elo team name
Goztep,
Bayern Munich,Bayern
Ath Bilbao,Bilbao
For Sittard,Sittard
Ad. Demirspor,Adana Demirspor
Kayserispor,Kayseri
AZ Alkmaar,Alkmaar
Almere City,Almere
Bodrumspor,Bodrum
Ath Madrid,Atletico
Sp Braga,Braga
NAC Breda,Breda
Volos NFC,NFC Volos
M'gladbach,Gladbach
Estrela,Estrela Amadora
Oud-Heverlee Leuven,Leuven
Vallecano,Rayo Vallecano
Beerschot VA,Beerschot AC
Gaziantep,Gaziantep FK
Athens Kallithea,
OFI Crete,
Espanol,Espanyol
Holstein Kiel,Holstein
Ein Frankfurt,Frankfurt
PSV Eindhoven,PSV
St Etienne,Saint-Etienne
Sp Lisbon,Sporting
AVS,AVS Futebol
St. Gilloise,St Gillis
Nott'm Forest,Forest
Club Brugge,Brugge
Werder Bremen,Werder
Buyuksehyr,Bueyueksehir